"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/02/2018","AQS","340030010","1","0.6","ppm","7","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/03/2018","AQS","340030010","1","1","ppm","11","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/04/2018","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/05/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/06/2018","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/07/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/08/2018","AQS","340030010","1","0.7","ppm","8","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/09/2018","AQS","340030010","1","0.7","ppm","8","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/10/2018","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/11/2018","AQS","340030010","1","1.5","ppm","17","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/12/2018","AQS","340030010","1","1.3","ppm","15","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/13/2018","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/14/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/15/2018","AQS","340030010","1","0.7","ppm","8","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/16/2018","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/17/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/18/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/19/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/20/2018","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/21/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/22/2018","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/23/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/24/2018","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/25/2018","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/26/2018","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
"01/27/2018","AQS","340030010","1","1.8","ppm","20","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.8535380009336","-73.966177"
