Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,340010006,1,6.6,ug/m3 LC,28,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/5/2018,AQS,340010006,1,3,ug/m3 LC,13,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/8/2018,AQS,340010006,1,7.2,ug/m3 LC,30,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/11/2018,AQS,340010006,1,2.4,ug/m3 LC,10,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/14/2018,AQS,340010006,1,2.4,ug/m3 LC,10,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/17/2018,AQS,340010006,1,9.4,ug/m3 LC,39,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/20/2018,AQS,340010006,1,4.5,ug/m3 LC,19,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/23/2018,AQS,340010006,1,2.9,ug/m3 LC,12,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/26/2018,AQS,340010006,1,7.3,ug/m3 LC,30,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/29/2018,AQS,340010006,1,4.3,ug/m3 LC,18,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/1/2018,AQS,340010006,1,5.2,ug/m3 LC,22,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/4/2018,AQS,340010006,1,2,ug/m3 LC,8,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/7/2018,AQS,340010006,1,5.5,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/10/2018,AQS,340010006,1,3.6,ug/m3 LC,15,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/13/2018,AQS,340010006,1,3.6,ug/m3 LC,15,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
2/16/2018,AQS,340010006,1,3.4,ug/m3 LC,14,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
