"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","340010006","1","1.1","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/02/2018","AQS","340010006","1","1.5","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/03/2018","AQS","340010006","1","1.6","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/04/2018","AQS","340010006","1","1.3","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/05/2018","AQS","340010006","1","1.2","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/06/2018","AQS","340010006","1","1.2","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/07/2018","AQS","340010006","1","1.4","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/08/2018","AQS","340010006","1","1.6","ppb","1","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/09/2018","AQS","340010006","1","0.6","ppb","0","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/10/2018","AQS","340010006","1","0.1","ppb","0","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/11/2018","AQS","340010006","1","0.3","ppb","0","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/12/2018","AQS","340010006","1","0","ppb","0","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
