Date,Source,Site ID,POC,val,UNITS,DAILY_AQI_VALUE,Site_Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-01,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,18,75,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-02,AQS,340030010,1,0.6,ppm,7,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-03,AQS,340030010,1,1,ppm,11,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-04,AQS,340030010,1,0.8,ppm,9,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-05,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-06,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-07,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-08,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-09,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-10,AQS,340030010,1,0.8,ppm,9,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-11,AQS,340030010,1,1.5,ppm,17,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-12,AQS,340030010,1,1.3,ppm,15,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-13,AQS,340030010,1,0.8,ppm,9,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-14,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-15,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-16,AQS,340030010,1,0.8,ppm,9,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-17,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-18,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-19,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-20,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-21,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-22,AQS,340030010,1,0.8,ppm,9,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-23,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-24,AQS,340030010,1,0.3,ppm,3,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
