Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,340010006,1,0.037,ppm,34,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/2/2018,AQS,340010006,1,0.033,ppm,31,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/3/2018,AQS,340010006,1,0.031,ppm,29,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/4/2018,AQS,340010006,1,0.036,ppm,33,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/5/2018,AQS,340010006,1,0.036,ppm,33,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/6/2018,AQS,340010006,1,0.036,ppm,33,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/7/2018,AQS,340010006,1,0.036,ppm,33,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/8/2018,AQS,340010006,1,0.035,ppm,32,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/9/2018,AQS,340010006,1,0.032,ppm,30,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/10/2018,AQS,340010006,1,0.031,ppm,29,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/11/2018,AQS,340010006,1,0.036,ppm,33,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/12/2018,AQS,340010006,1,0.034,ppm,31,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/13/2018,AQS,340010006,1,0.035,ppm,32,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/14/2018,AQS,340010006,1,0.035,ppm,32,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/15/2018,AQS,340010006,1,0.035,ppm,32,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/16/2018,AQS,340010006,1,0.037,ppm,34,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/17/2018,AQS,340010006,1,0.026,ppm,24,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/18/2018,AQS,340010006,1,0.032,ppm,30,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/19/2018,AQS,340010006,1,0.039,ppm,36,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/20/2018,AQS,340010006,1,0.041,ppm,38,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/21/2018,AQS,340010006,1,0.039,ppm,36,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/22/2018,AQS,340010006,1,0.039,ppm,36,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/23/2018,AQS,340010006,1,0.038,ppm,35,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/24/2018,AQS,340010006,1,0.033,ppm,31,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/25/2018,AQS,340010006,1,0.035,ppm,32,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/26/2018,AQS,340010006,1,0.034,ppm,31,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/27/2018,AQS,340010006,1,0.042,ppm,39,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/28/2018,AQS,340010006,1,0.028,ppm,26,Brigantine,17,100,44201,Ozone,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
